"Timestamp","CPU cores","CPU capacity provisioned [MHZ]","CPU usage [MHZ]","CPU usage [%]","Memory capacity provisioned [KB]","Memory usage [KB]","Memory usage [%]","Disk read throughput [KB/s]","Disk write throughput [KB/s]","Disk size [GB]","Network received throughput [KB/s]","Network transmitted throughput [KB/s]"
"05.11.2015 06:35:00","4","0","421","4,39","10485760","586154","5,59","0","22","350","85","91"
"05.11.2015 06:40:00","4","0","259","2,7","10485760","523239","4,99","0","14","350","15","16"
"05.11.2015 06:45:00","4","0","240","2,5","10485760","592445","5,65","0","13","350","3","2"
"05.11.2015 06:50:00","4","0","244","2,54","10485760","613417","5,85","0","13","350","3","2"
"05.11.2015 06:55:00","4","0","242","2,53","10485760","529531","5,05","0","14","350","3","2"
"05.11.2015 07:00:00","4","0","248","2,59","10485760","454033","4,33","0","14","350","3","2"
"05.11.2015 07:05:00","4","0","386","4,02","10485760","515899","4,92","0","23","350","85","91"
"05.11.2015 07:10:00","4","0","227","2,37","10485760","586154","5,59","0","14","350","8","8"
"05.11.2015 07:15:00","4","0","228","2,38","10485760","508559","4,85","0","14","350","10","10"
"05.11.2015 07:20:00","4","0","213","2,22","10485760","424673","4,05","0","13","350","3","2"
"05.11.2015 07:25:00","4","0","220","2,29","10485760","473956","4,52","0","25","350","4","2"
"05.11.2015 07:30:00","4","0","218","2,27","10485760","509608","4,86","0","13","350","3","2"
"05.11.2015 07:35:00","4","0","381","3,97","10485760","494928","4,72","0","22","350","85","91"
"05.11.2015 07:40:00","4","0","214","2,23","10485760","473956","4,52","0","14","350","3","2"
"05.11.2015 07:45:00","4","0","237","2,47","10485760","515899","4,92","0","37","350","15","16"
"05.11.2015 07:50:00","4","0","217","2,26","10485760","452985","4,32","0","13","350","3","2"
"05.11.2015 07:55:00","4","0","218","2,28","10485760","494928","4,72","0","14","350","3","2"
"05.11.2015 08:00:00","4","0","216","2,25","10485760","544211","5,19","0","13","350","3","2"
"05.11.2015 08:05:00","4","0","314","3,27","10485760","439353","4,19","0","18","350","49","51"
"05.11.2015 08:10:00","4","0","292","3,04","10485760","502268","4,79","0","17","350","39","41"
"05.11.2015 08:15:00","4","0","238","2,48","10485760","460325","4,39","0","14","350","15","16"
"05.11.2015 08:20:00","4","0","253","2,64","10485760","481296","4,59","18","14","350","16","18"
"05.11.2015 08:25:00","4","0","276","2,87","10485760","502268","4,79","109","20","350","34","31"
"05.11.2015 08:30:00","4","0","240","2,5","10485760","418382","3,99","10","17","350","15","11"
"05.11.2015 08:35:00","4","0","221","2,3","10485760","481296","4,59","0","14","350","6","4"
"05.11.2015 08:40:00","4","0","428","4,46","10485760","711983","6,79","8","28","350","112","115"
"05.11.2015 08:45:00","4","0","253","2,64","10485760","816841","7,79","2","17","350","24","23"
"05.11.2015 08:50:00","4","0","217","2,27","10485760","572522","5,46","0","13","350","4","2"
"05.11.2015 08:55:00","4","0","218","2,27","10485760","502268","4,79","0","14","350","4","3"
"05.11.2015 09:00:00","4","0","234","2,44","10485760","452985","4,32","0","13","350","4","2"
"05.11.2015 09:05:00","4","0","233","2,43","10485760","466616","4,45","0","14","350","4","2"
"05.11.2015 09:10:00","4","0","391","4,07","10485760","607126","5,79","0","22","350","86","92"
"05.11.2015 09:15:00","4","0","245","2,56","10485760","544211","5,19","0","14","350","16","17"
"05.11.2015 09:20:00","4","0","241","2,51","10485760","475005","4,53","0","14","350","4","2"
"05.11.2015 09:25:00","4","0","243","2,53","10485760","494928","4,72","0","15","350","5","4"
"05.11.2015 09:30:00","4","0","255","2,66","10485760","586154","5,59","19","17","350","11","11"
"05.11.2015 09:35:00","4","0","540","5,63","10485760","984613","9,39","843","59","350","120","140"
"05.11.2015 09:40:00","4","0","554","5,77","10485760","1452278","13,85","143","46","350","158","151"
"05.11.2015 09:45:00","4","0","420","4,37","10485760","1005584","9,59","567","207","350","85","111"
"05.11.2015 09:50:00","4","0","310","3,23","10485760","908067","8,66","215","167","350","40","36"
"05.11.2015 09:55:00","4","0","276","2,88","10485760","544211","5,19","2","23","350","31","26"
"05.11.2015 10:00:00","4","0","267","2,78","10485760","607126","5,79","9","24","350","24","19"
"05.11.2015 10:05:00","4","0","322","3,36","10485760","649069","6,19","11","20","350","46","42"
"05.11.2015 10:10:00","4","0","500","5,21","10485760","816841","7,79","407","36","350","114","143"
"05.11.2015 10:15:00","4","0","576","6","10485760","1152385","10,99","80","40","350","166","168"
"05.11.2015 10:20:00","4","0","433","4,51","10485760","1047527","9,99","27","31","350","96","94"
"05.11.2015 10:25:00","4","0","286","2,98","10485760","837812","7,99","27","27","350","30","22"
"05.11.2015 10:30:00","4","0","319","3,32","10485760","1053819","10,05","50","23","350","41","39"
"05.11.2015 10:35:00","4","0","278","2,9","10485760","927990","8,85","127","23","350","29","22"
"05.11.2015 10:40:00","4","0","251","2,61","10485760","635437","6,06","0","14","350","19","12"
"05.11.2015 10:45:00","4","0","450","4,69","10485760","529531","5,05","1","23","350","114","122"
"05.11.2015 10:50:00","4","0","669","6,97","10485760","355467","3,39","0","14","350","274","335"
"05.11.2015 10:55:00","4","0","927","9,66","10485760","473956","4,52","1","17","350","433","537"
"05.11.2015 11:00:00","4","0","893","9,3","10485760","649069","6,19","3","15","350","365","450"
"05.11.2015 11:05:00","4","0","250","2,6","10485760","530579","5,06","0","14","350","7","4"
"05.11.2015 11:10:00","4","0","268","2,79","10485760","628097","5,99","19","26","350","15","16"
"05.11.2015 11:15:00","4","0","513","5,34","10485760","921698","8,79","41","210","350","137","146"
"05.11.2015 11:20:00","4","0","282","2,93","10485760","697303","6,65","53","41","350","27","38"
"05.11.2015 11:25:00","4","0","376","3,91","10485760","1061159","10,12","19","40","350","78","80"
"05.11.2015 11:30:00","4","0","309","3,22","10485760","795869","7,59","156","43","350","38","31"
"05.11.2015 11:35:00","4","0","252","2,63","10485760","753926","7,19","1","18","350","13","10"
"05.11.2015 11:40:00","4","0","253","2,63","10485760","397410","3,79","0","17","350","13","10"
"05.11.2015 11:45:00","4","0","462","4,81","10485760","536871","5,12","16","36","350","112","128"
"05.11.2015 11:50:00","4","0","302","3,15","10485760","774898","7,39","26","38","350","41","50"
"05.11.2015 11:55:00","4","0","306","3,19","10485760","607126","5,79","127","45","350","43","35"
"05.11.2015 12:00:00","4","0","232","2,41","10485760","816841","7,79","0","19","350","8","6"
"05.11.2015 12:05:00","4","0","257","2,67","10485760","524288","5","11","253","350","19","12"
"05.11.2015 12:10:00","4","0","225","2,34","10485760","565182","5,39","0","14","350","5","3"
"05.11.2015 12:15:00","4","0","290","3,02","10485760","418382","3,99","0","17","350","36","36"
"05.11.2015 12:20:00","4","0","357","3,72","10485760","649069","6,19","3","378","350","69","73"
"05.11.2015 12:25:00","4","0","271","2,83","10485760","649069","6,19","1","15","350","24","22"
"05.11.2015 12:30:00","4","0","230","2,39","10485760","544211","5,19","0","14","350","6","3"
"05.11.2015 12:35:00","4","0","232","2,42","10485760","452985","4,32","4","15","350","8","6"
"05.11.2015 12:40:00","4","0","420","4,38","10485760","620757","5,92","110","42","350","96","132"
"05.11.2015 12:45:00","4","0","312","3,26","10485760","927990","8,85","14","36","350","45","49"
"05.11.2015 12:50:00","4","0","305","3,18","10485760","927990","8,85","105","26","350","44","41"
"05.11.2015 12:55:00","4","0","282","2,94","10485760","900727","8,59","7","23","350","36","34"
"05.11.2015 13:00:00","4","0","269","2,8","10485760","984613","9,39","81","38","350","27","19"
"05.11.2015 13:05:00","4","0","260","2,71","10485760","607126","5,79","13","14","350","20","13"
"05.11.2015 13:10:00","4","0","320","3,34","10485760","761266","7,26","18","17","350","46","27"
"05.11.2015 13:15:00","4","0","571","5,95","10485760","1207960","11,52","53","64","350","158","178"
"05.11.2015 13:20:00","4","0","270","2,81","10485760","1103102","10,52","12","38","350","22","19"
"05.11.2015 13:25:00","4","0","264","2,75","10485760","753926","7,19","2","300","350","20","18"
"05.11.2015 13:30:00","4","0","305","3,18","10485760","816841","7,79","38","27","350","40","59"
"05.11.2015 13:35:00","4","0","293","3,05","10485760","635437","6,06","23","21","350","38","39"
"05.11.2015 13:40:00","4","0","313","3,26","10485760","753926","7,19","102","48","350","49","44"
"05.11.2015 13:45:00","4","0","421","4,38","10485760","732955","6,99","13","23","350","101","106"
"05.11.2015 13:50:00","4","0","251","2,62","10485760","550502","5,25","4","19","350","17","16"
"05.11.2015 13:55:00","4","0","395","4,12","10485760","1026556","9,79","28","30","350","114","106"
"05.11.2015 14:00:00","4","0","303","3,16","10485760","795869","7,59","6","26","350","45","44"
"05.11.2015 14:05:00","4","0","232","2,42","10485760","942670","8,99","0","14","350","7","5"
"05.11.2015 14:10:00","4","0","258","2,69","10485760","523239","4,99","2","17","350","18","15"
"05.11.2015 14:15:00","4","0","444","4,63","10485760","586154","5,59","1","25","350","114","124"
"05.11.2015 14:20:00","4","0","247","2,58","10485760","628097","5,99","9","18","350","15","16"
"05.11.2015 14:25:00","4","0","232","2,42","10485760","649069","6,19","6","15","350","7","4"
"05.11.2015 14:30:00","4","0","232","2,42","10485760","432013","4,12","0","14","350","8","6"
"05.11.2015 14:35:00","4","0","231","2,4","10485760","509608","4,86","0","13","350","6","3"
"05.11.2015 14:40:00","4","0","256","2,67","10485760","397410","3,79","2","15","350","16","15"
"05.11.2015 14:45:00","4","0","453","4,72","10485760","411042","3,92","1","20","350","63","66"
"05.11.2015 14:50:00","4","0","372","3,88","10485760","550502","5,25","0","21","350","58","64"
"05.11.2015 14:55:00","4","0","315","3,28","10485760","1068499","10,19","48","265","350","46","56"
"05.11.2015 15:00:00","4","0","265","2,76","10485760","795869","7,59","0","14","350","15","15"
"05.11.2015 15:05:00","4","0","268","2,8","10485760","732955","6,99","4","27","350","18","18"
"05.11.2015 15:10:00","4","0","302","3,15","10485760","998244","9,52","8","24","350","43","44"
"05.11.2015 15:15:00","4","0","311","3,24","10485760","963641","9,19","42","42","350","48","45"
"05.11.2015 15:20:00","4","0","453","4,72","10485760","816841","7,79","63","34","350","97","108"
"05.11.2015 15:25:00","4","0","252","2,62","10485760","760218","7,25","0","16","350","15","11"
"05.11.2015 15:30:00","4","0","280","2,92","10485760","571474","5,45","5","21","350","32","29"
"05.11.2015 15:35:00","4","0","234","2,44","10485760","466616","4,45","0","13","350","7","4"
"05.11.2015 15:40:00","4","0","588","6,13","10485760","683672","6,52","6845","1605","350","62","3817"
"05.11.2015 15:45:00","4","0","465","4,85","10485760","1928331","18,39","2479","48","350","88","472"
"05.11.2015 15:50:00","4","0","569","5,93","10485760","1529872","14,59","1059","47","350","164","220"
"05.11.2015 15:55:00","4","0","558","5,81","10485760","1110442","10,59","216","37","350","81","100"
"05.11.2015 16:00:00","4","0","582","6,07","10485760","963641","9,19","23","30","350","105","122"
"05.11.2015 16:05:00","4","0","393","4,1","10485760","683672","6,52","154","176","350","81","238"
"05.11.2015 16:10:00","4","0","274","2,85","10485760","746586","7,12","140","20","350","22","19"
"05.11.2015 16:15:00","4","0","254","2,65","10485760","523239","4,99","2","18","350","13","10"
"05.11.2015 16:20:00","4","0","316","3,29","10485760","641728","6,12","39","97","350","56","70"
"05.11.2015 16:25:00","4","0","532","5,54","10485760","670040","6,39","4","32","350","154","354"
"05.11.2015 16:30:00","4","0","313","3,27","10485760","691012","6,59","172","20","350","37","36"
"05.11.2015 16:35:00","4","0","321","3,35","10485760","1053819","10,05","23","22","350","30","24"
"05.11.2015 16:40:00","4","0","302","3,15","10485760","1054868","10,06","286","31","350","24","26"
"05.11.2015 16:45:00","4","0","340","3,54","10485760","1089470","10,39","21","144","350","31","30"
"05.11.2015 16:50:00","4","0","373","3,89","10485760","1173356","11,19","407","58","350","46","125"
"05.11.2015 16:55:00","4","0","612","6,37","10485760","879755","8,39","389","74","350","170","226"
"05.11.2015 17:00:00","4","0","286","2,98","10485760","935330","8,92","22","25","350","22","19"
"05.11.2015 17:05:00","4","0","385","4,01","10485760","655360","6,25","186","27","350","79","70"
"05.11.2015 17:10:00","4","0","383","3,99","10485760","802161","7,65","145","27","350","88","72"
"05.11.2015 17:15:00","4","0","352","3,67","10485760","676332","6,45","15","28","350","79","65"
"05.11.2015 17:20:00","4","0","380","3,96","10485760","781189","7,45","13","25","350","92","76"
"05.11.2015 17:25:00","4","0","475","4,95","10485760","565182","5,39","12","32","350","122","130"
"05.11.2015 17:30:00","4","0","350","3,65","10485760","732955","6,99","10","48","350","48","57"
"05.11.2015 17:35:00","4","0","351","3,66","10485760","1173356","11,19","40","51","350","48","61"
"05.11.2015 17:40:00","4","0","379","3,95","10485760","1089470","10,39","192","208","350","65","60"
"05.11.2015 17:45:00","4","0","345","3,59","10485760","1005584","9,59","10","35","350","56","65"
"05.11.2015 17:50:00","4","0","295","3,08","10485760","1110442","10,59","10","38","350","37","45"
"05.11.2015 17:55:00","4","0","457","4,76","10485760","1047527","9,99","50","48","350","117","124"
"05.11.2015 18:00:00","4","0","351","3,66","10485760","1047527","9,99","5","27","350","71","74"
"05.11.2015 18:05:00","4","0","329","3,43","10485760","914358","8,72","113","356","350","58","52"
"05.11.2015 18:10:00","4","0","319","3,32","10485760","1074790","10,25","21","248","350","44","52"
"05.11.2015 18:15:00","4","0","299","3,12","10485760","927990","8,85","10","29","350","40","37"
"05.11.2015 18:20:00","4","0","376","3,91","10485760","879755","8,39","18","45","350","84","90"
"05.11.2015 18:25:00","4","0","326","3,4","10485760","977273","9,32","10","27","350","58","59"
"05.11.2015 18:30:00","4","0","475","4,95","10485760","907018","8,65","8","35","350","130","131"
"05.11.2015 18:35:00","4","0","351","3,66","10485760","907018","8,65","8","29","350","56","141"
"05.11.2015 18:40:00","4","0","353","3,68","10485760","788529","7,52","10","54","350","59","57"
"05.11.2015 18:45:00","4","0","482","5,02","10485760","1138754","10,86","38","241","350","157","107"
"05.11.2015 18:50:00","4","0","435","4,54","10485760","1194328","11,39","24","68","350","84","195"
"05.11.2015 18:55:00","4","0","332","3,46","10485760","1131414","10,79","21","52","350","53","63"
"05.11.2015 19:00:00","4","0","487","5,07","10485760","1068499","10,19","77","65","350","138","134"
"05.11.2015 19:05:00","4","0","311","3,25","10485760","795869","7,59","6","230","350","64","37"
"05.11.2015 19:10:00","4","0","284","2,96","10485760","691012","6,59","1","20","350","35","36"
"05.11.2015 19:15:00","4","0","311","3,24","10485760","927990","8,85","44","33","350","42","34"
"05.11.2015 19:20:00","4","0","269","2,81","10485760","1053819","10,05","41","37","350","21","36"
"05.11.2015 19:25:00","4","0","284","2,96","10485760","656409","6,26","0","15","350","34","111"
"05.11.2015 19:30:00","4","0","400","4,17","10485760","578814","5,52","0","22","350","87","92"
"05.11.2015 19:35:00","4","0","225","2,34","10485760","544211","5,19","0","14","350","5","2"
"05.11.2015 19:40:00","4","0","227","2,36","10485760","544211","5,19","0","14","350","5","2"
"05.11.2015 19:45:00","4","0","230","2,4","10485760","544211","5,19","0","16","350","6","3"
"05.11.2015 19:50:00","4","0","228","2,38","10485760","523239","4,99","0","13","350","5","2"
"05.11.2015 19:55:00","4","0","247","2,57","10485760","481296","4,59","0","15","350","17","17"
"05.11.2015 20:00:00","4","0","327","3,41","10485760","439353","4,19","0","18","350","56","58"
"05.11.2015 20:05:00","4","0","289","3,01","10485760","572522","5,46","0","17","350","36","37"
"05.11.2015 20:10:00","4","0","229","2,38","10485760","662700","6,32","0","14","350","4","2"
"05.11.2015 20:15:00","4","0","230","2,39","10485760","662700","6,32","0","15","350","5","5"
"05.11.2015 20:20:00","4","0","227","2,37","10485760","691012","6,59","1","15","350","5","6"
"05.11.2015 20:25:00","4","0","248","2,58","10485760","523239","4,99","0","15","350","17","19"
"05.11.2015 20:30:00","4","0","240","2,5","10485760","592445","5,65","0","18","350","7","8"
"05.11.2015 20:35:00","4","0","447","4,66","10485760","683672","6,52","2","28","350","108","209"
"05.11.2015 20:40:00","4","0","309","3,22","10485760","977273","9,32","12","243","350","25","31"
"05.11.2015 20:45:00","4","0","319","3,33","10485760","1145045","10,92","39","61","350","47","61"
"05.11.2015 20:50:00","4","0","242","2,52","10485760","781189","7,45","1","19","350","12","12"
"05.11.2015 20:55:00","4","0","268","2,8","10485760","382730","3,65","8","25","350","29","30"
"05.11.2015 21:00:00","4","0","302","3,15","10485760","649069","6,19","2","186","350","39","39"
"05.11.2015 21:05:00","4","0","462","4,81","10485760","760218","7,25","46","57","350","116","128"
"05.11.2015 21:10:00","4","0","290","3,02","10485760","969933","9,25","3","41","350","33","37"
"05.11.2015 21:15:00","4","0","241","2,51","10485760","927990","8,85","1","20","350","13","12"
"05.11.2015 21:20:00","4","0","225","2,35","10485760","628097","5,99","0","15","350","4","2"
"05.11.2015 21:25:00","4","0","255","2,66","10485760","460325","4,39","0","24","350","21","23"
"05.11.2015 21:30:00","4","0","238","2,48","10485760","515899","4,92","11","17","350","8","6"
"05.11.2015 21:35:00","4","0","389","4,06","10485760","425722","4,06","3","22","350","88","93"
"05.11.2015 21:40:00","4","0","232","2,42","10485760","544211","5,19","0","178","350","6","4"
"05.11.2015 21:45:00","4","0","295","3,07","10485760","795869","7,59","0","46","350","33","129"
"05.11.2015 21:50:00","4","0","279","2,91","10485760","851444","8,12","7","39","350","19","21"
"05.11.2015 21:55:00","4","0","328","3,42","10485760","866124","8,26","919","46","350","49","80"
"05.11.2015 22:00:00","4","0","297","3,1","10485760","1236271","11,79","5","29","350","39","55"
"05.11.2015 22:05:00","4","0","431","4,49","10485760","921698","8,79","28","62","350","100","125"
"05.11.2015 22:10:00","4","0","511","5,33","10485760","1508901","14,39","23","52","350","136","163"
"05.11.2015 22:15:00","4","0","376","3,92","10485760","1299186","12,39","104","224","350","57","82"
"05.11.2015 22:20:00","4","0","383","3,99","10485760","1215300","11,59","35","51","350","79","117"
"05.11.2015 22:25:00","4","0","374","3,9","10485760","1110442","10,59","6","27","350","83","174"
"05.11.2015 22:30:00","4","0","316","3,29","10485760","1110442","10,59","55","42","350","43","61"
"05.11.2015 22:35:00","4","0","356","3,71","10485760","1131414","10,79","7","36","350","60","87"
"05.11.2015 22:40:00","4","0","513","5,35","10485760","1327497","12,66","69","56","350","140","165"
"05.11.2015 22:45:00","4","0","378","3,94","10485760","1312817","12,52","61","268","350","65","85"
"05.11.2015 22:50:00","4","0","270","2,81","10485760","1068499","10,19","58","25","350","29","30"
"05.11.2015 22:55:00","4","0","345","3,59","10485760","844104","8,05","4","198","350","67","71"
"05.11.2015 23:00:00","4","0","306","3,19","10485760","809501","7,72","49","49","350","48","53"
"05.11.2015 23:05:00","4","0","340","3,54","10485760","1026556","9,79","18","42","350","62","66"
"05.11.2015 23:10:00","4","0","446","4,65","10485760","788529","7,52","7","34","350","114","123"
"05.11.2015 23:15:00","4","0","488","5,08","10485760","795869","7,59","11","52","350","117","225"
"05.11.2015 23:20:00","4","0","427","4,45","10485760","1333789","12,72","51","296","350","94","111"
"05.11.2015 23:25:00","4","0","357","3,72","10485760","1103102","10,52","19","41","350","47","52"
"05.11.2015 23:30:00","4","0","329","3,42","10485760","984613","9,39","3","38","350","59","65"
"05.11.2015 23:35:00","4","0","261","2,72","10485760","628097","5,99","1","22","350","25","25"
"05.11.2015 23:40:00","4","0","430","4,48","10485760","418382","3,99","1","29","350","112","118"
"05.11.2015 23:45:00","4","0","292","3,04","10485760","508559","4,85","12","29","350","43","43"
"05.11.2015 23:50:00","4","0","319","3,33","10485760","683672","6,52","31","34","350","57","59"
"05.11.2015 23:55:00","4","0","262","2,73","10485760","571474","5,45","25","39","350","26","23"
"06.11.2015 00:00:00","4","0","278","2,89","10485760","515899","4,92","1","19","350","35","37"
"06.11.2015 00:05:00","4","0","286","2,98","10485760","523239","4,99","29","34","350","33","28"
"06.11.2015 00:10:00","4","0","397","4,14","10485760","914358","8,72","42","282","350","41","43"
"06.11.2015 00:15:00","4","0","371","3,87","10485760","753926","7,19","1","23","350","79","85"
"06.11.2015 00:20:00","4","0","260","2,7","10485760","698352","6,66","21","20","350","24","26"
"06.11.2015 00:25:00","4","0","248","2,58","10485760","670040","6,39","0","17","350","17","18"
"06.11.2015 00:30:00","4","0","273","2,84","10485760","544211","5,19","1","18","350","32","35"
"06.11.2015 00:35:00","4","0","249","2,6","10485760","760218","7,25","148","21","350","14","16"
