Dataset,Method,Data_Size,Min_MAPE,Min_MAE,Min_MSE
./ali_only.csv,evolution,500,22.26779571533203,0.017485065385699272,0.000499105837661773
./local_plus_mat.csv,random,10,30.744924545288086,0.021877817809581757,0.0007615230861119926
./local_plus_mat.csv,random,20,30.43915557861328,0.017628295347094536,0.000507467077113688
./local_plus_mat.csv,random,50,29.873,,
./local_plus_mat.csv,random,100,28.392,,
./local_plus_mat.csv,random,200,25.02,,
./local_plus_mat.csv,random,300,24.4,,
./local_plus_mat.csv,random,400,23.11,,
./local_plus_mat.csv,random,500,22.29,,
./local_plus_mat.csv,GridSearch,10,34.70821380615234,0.056064557284116745,0.003588782623410225
./local_plus_mat.csv,GridSearch,20,33.57455062866211,0.04190775007009506,0.002149307169020176
./local_plus_mat.csv,GridSearch,50,32.3,,
./local_plus_mat.csv,GridSearch,100,31.4,,
./local_plus_mat.csv,GridSearch,200,28.3,,
./local_plus_mat.csv,GridSearch,300,27.8,,
./local_plus_mat.csv,GridSearch,400,27.1,,
./local_plus_mat.csv,GridSearch,500,25.92,,
./local_plus_mat.csv,tpe,10,29.490497589111328,0.01672688126564026,0.0004564098780974746
./local_plus_mat.csv,tpe,20,29.21,,
./local_plus_mat.csv,tpe,50,28.13,,
./local_plus_mat.csv,tpe,100,27.8,,
./local_plus_mat.csv,tpe,200,25.3,,
./local_plus_mat.csv,tpe,300,24.8,,
./local_plus_mat.csv,tpe,400,24.03,,
./local_plus_mat.csv,tpe,500,23.24,,
./local_plus_mat.csv,anneal,10,33.271394729614258,0.017490610480308533,0.0004992224858142436
./local_plus_mat.csv,anneal,20,31.38,,
./local_plus_mat.csv,anneal,50,28.43,,
./local_plus_mat.csv,anneal,100,29.1,,
./local_plus_mat.csv,anneal,200,26.32,,
./local_plus_mat.csv,anneal,300,25.7,,
./local_plus_mat.csv,anneal,400,24.6,,
./local_plus_mat.csv,anneal,500,25.28,,
./local_plus_mat.csv,evolution,10,27.195598602294922,0.019361846148967743,0.0006159385084174573
./local_plus_mat.csv,evolution,20,27.29,,
./local_plus_mat.csv,evolution,50,26.81,,
./local_plus_mat.csv,evolution,100,26.61,,
./local_plus_mat.csv,evolution,200,24.31,,
./local_plus_mat.csv,evolution,300,24.215,,
./local_plus_mat.csv,evolution,400,23.41,,
./local_plus_mat.csv,evolution,500,23.67,,
./local_plus_ali.csv,random,10,33.341291427612305,0.017307555302977562,0.0004905446548946202
./local_plus_ali.csv,random,20,32.39723205566406,0.020187171176075935,0.0006650064024142921
./local_plus_ali.csv,random,50,27.47150230407715,0.017894677817821503,0.0005244743661023676
./local_plus_ali.csv,random,100,27.603200912475586,0.023633312433958054,0.0008381863008253276
./local_plus_ali.csv,random,200,26.73295211791992,0.021079055964946747,0.0007154893828555942
./local_plus_ali.csv,random,300,26.021148681640625,0.02436062879860401,0.0008827379206195474
./local_plus_ali.csv,random,400,25.575157165527344,0.02070385217666626,0.000690341810695827
./local_plus_ali.csv,random,500,23.129717483520508,0.017762187868356705,0.0005180942825973034
./local_plus_ali.csv,GridSearch,10,57.9798583984375,0.05064615607261658,0.0029968649614602327
./local_plus_ali.csv,GridSearch,20,44.95878601074219,0.03968950733542442,0.0019568013958632946
./local_plus_ali.csv,GridSearch,50,43.98666000366211,0.01942780613899231,0.0006088514346629381
./local_plus_ali.csv,GridSearch,100,38.01592254638672,0.01653715968132019,0.0004517128982115537
./local_plus_ali.csv,GridSearch,200,34.39246368408203,0.01645834557712078,0.0004485167155507952
./local_plus_ali.csv,GridSearch,300,35.267120361328125,0.04060244932770729,0.0020236175041645765
./local_plus_ali.csv,GridSearch,400,34.41236114501953,0.08004709333181381,0.00685527129098773
./local_plus_ali.csv,GridSearch,500,34.30519287109375,0.11966781318187714,0.014767371118068695
./local_plus_ali.csv,tpe,10,36.121047973632812,0.01851264387369156,0.0005693603307008743
./local_plus_ali.csv,tpe,20,34.753398895263672,0.02273968607187271,0.000793025188613683
./local_plus_ali.csv,tpe,50,33.645727157592773,0.020278973504900932,0.0006608431576751173
./local_plus_ali.csv,tpe,100,29.312549591064453,0.019743001088500023,0.0007058948976919055
./local_plus_ali.csv,tpe,200,28.396818161010742,0.016747038811445236,0.00046197365736588836
./local_plus_ali.csv,tpe,300,27.62128829956055,0.02717266045510769,0.0010502089280635118
./local_plus_ali.csv,tpe,400,26.814525604248047,0.022796960547566414,0.0007935401517897844
./local_plus_ali.csv,tpe,500,23.49108825683594,0.01851278357207775,0.0005567666958086193
./local_plus_ali.csv,anneal,10,34.5172176361084,0.020175455138087273,0.0006518688751384616
./local_plus_ali.csv,anneal,20,32.61024475097656,0.020825941115617752,0.0006842456641606987
./local_plus_ali.csv,anneal,50,31.973674774169922,0.017865970730781555,0.0005151444347575307
./local_plus_ali.csv,anneal,100,29.011526107788086,0.01690831407904625,0.00046997505705803633
./local_plus_ali.csv,anneal,200,28.117204666137695,0.01787760481238365,0.0005225733038969338
./local_plus_ali.csv,anneal,300,26.713233947753906,0.019569646567106247,0.0006235642940737307
./local_plus_ali.csv,anneal,400,24.69588851928711,0.016836531460285187,0.00047046810504980385
./local_plus_ali.csv,anneal,500,25.2819061279297,0.0263496283441782,0.0010166243882849813
./local_plus_ali.csv,evolution,10,33.631385803222656,0.021820463240146637,0.0007744655595161021
./local_plus_ali.csv,evolution,20,33.11331558227539,0.018893975764513016,0.0005860892124474049
./local_plus_ali.csv,evolution,50,31.675209045410156,0.01780819334089756,0.0005196285201236606
./local_plus_ali.csv,evolution,100,26.83770751953125,0.016806941479444504,0.00047207792522385716
./local_plus_ali.csv,evolution,200,24.042804718017578,0.01705925725400448,0.0004786434001289308
./local_plus_ali.csv,evolution,300,24.199230194091797,0.0226881243288517,0.0008262805640697479
./local_plus_ali.csv,evolution,400,23.22610855102539,0.016789639368653297,0.00045708351535722613
./local_plus_ali.csv,evolution,500,22.9121551513672,0.01745131053030491,0.0005183498142287135
